X.1,name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,ngrams_science,ngrams_common
155,Rallus obsoletus yumanensis,Birds,3,515982.14532872,2,6,3,1,1,0,9,-0.163825750489489,-0.122831986116968
156,Xyrauchen texanus,Fishes,1,5118773.56401384,3,5,3,1,2,1,1,1.65272348888334,0.458743504624135
157,Eschrichtius robustus,Mammals,4,848.096885813149,NA,NA,NA,NA,NA,NA,1,5.1990519109282,2.43892110136321
158,Puffinus newelli,Birds,2,39860.553633218,1,8,2,2,2,0,32,-0.163825750489489,-0.122831986116968
159,Oryzomys palustris argentatus,Mammals,2,8480.96885813149,1,9,2,2,1,1,12,-0.163825750489489,-0.122831986116968
160,Eumetopias jubatus,Mammals,3,2989032.66435986,NA,7,2,2,3,NA,1,4.79108203578265,0.678858899480396
161,Lepidomeda vittata,Fishes,1,6733889.2733564,1,2,3,2,2,0,5,-0.039130373216149,-0.0898913433089956
162,Haliaeetus leucocephalus,Birds,5,18653891.0034602,NA,6,3,1,1,1,8,7.99665199290179,15.2820234408128
163,Rallus obsoletus levipes,Birds,1,379947.404844291,1,2,3,2,2,0,9,-0.163825750489489,-0.122831986116968
164,Cyprinodon radiosus,Fishes,1,17810.0346020761,1,5,3,1,2,0,44,0.013074234799507,-0.049561096732823
165,Corynorhinus townsendii ingens,Mammals,1,177421.868512111,3,3,3,2,1,0,3,-0.163825750489489,-0.122831986116968
166,Strix occidentalis caurina,Birds,3,28979809.8269896,2,9,2,2,1,1,22,1.45148131824167,6.79803029121241
167,Etheostoma okaloosae,Fishes,2,880324.567474048,1,11,2,1,2,0,145,-0.027453225096844,-0.0552666954085542
168,Loxops coccineus,Birds,1,269864.429065744,1,9,2,2,1,0,5,-0.163825750489489,-0.122831986116968
169,Aplodontia rufa nigra,Mammals,1,6784.77508650519,1,3,3,2,1,0,1,-0.073274331825454,-0.0830213958856441
170,Myotis grisescens,Mammals,3,915435.778546713,5,8,2,2,2,0,143,1.12360420751453,-0.104233360613233
171,Chelonia mydas,Reptiles,3,4864514.11764706,5,1,3,2,3,1,1,13.467628466548,0.481065903024772
172,Antilocapra americana sonoriensis,Mammals,1,124331.003460208,1,3,3,2,1,0,1,-0.0704292667751732,-0.04223470161446
173,Setophaga chrysoparia,Birds,2,3364739.58477509,1,2,3,2,2,1,37,-0.163825750489489,-0.122831986116968
175,Herpailurus yagouaroundi cacomitli,Mammals,1,113305.743944637,1,6,3,1,1,0,2,-0.163825750489489,-0.122831986116968
176,Neotoma floridana smalli,Mammals,1,48680.7612456747,1,3,3,2,1,1,23,-0.0203998413755546,-0.0823611825788339
177,Rangifer tarandus caribou,Mammals,1,302770.588235294,2,3,3,2,1,1,1,1.14819046093592,0.779046657190063
178,Acipenser brevirostrum,Fishes,3,769902.352941177,NA,2,3,2,2,1,21,1.40137188271367,0.408108927592038
179,Etheostoma fonticola,Fishes,1,220505.190311419,1,2,3,2,2,1,145,0.0361563374197865,-0.0759898748805335
180,Peromyscus polionotus trissyllepsis,Mammals,1,12042.9757785467,1,3,3,2,1,1,57,-0.163825750489489,-0.122831986116968
181,Falco peregrinus anatum,Birds,3,7554507.82006921,NA,9,2,2,1,0,39,1.40067234611684,0.433646269387478
183,Oncorhynchus clarkii seleniris,Fishes,2,122974.048442907,1,9,2,2,1,0,15,-0.163825750489489,-0.0166920066382007
184,Gopherus polyphemus,Reptiles,3,457802.698961938,1,9,2,2,1,0,6,2.35354979853969,0.770266964089166
185,Canis lupus,Mammals,4,8090844.29065744,5,3,3,2,1,1,8,11.245229595234,2.9638652200799
186,Caretta caretta,Reptiles,3,4446741.5916955,5,7,2,2,3,1,1,13.2436467188673,0.299747138582654
187,Gambusia gaigei,Fishes,1,47154.1868512111,1,2,3,2,2,0,43,0.0117785802480078,-0.0870881915507286
188,Peromyscus polionotus phasma,Mammals,1,8480.96885813149,1,6,3,1,1,1,57,-0.163825750489489,-0.122831986116968
189,Siphateles boraxobius,Fishes,1,128910.726643599,1,5,3,1,2,0,3,-0.163825750489489,-0.0913248585898752
190,Vireo atricapilla,Birds,2,3557087.95847751,NA,2,3,2,2,1,32,-0.163825750489489,-0.122831986116968
191,Pseudonestor xanthophrys,Birds,1,347210.865051903,1,1,3,2,3,0,1,-0.163825750489489,-0.122831986116968
192,Cyprinella formosa,Fishes,1,41556.7474048443,1,2,3,2,2,0,33,-0.0987674204287411,-0.0818309149244896
194,Notropis cahabae,Fishes,2,63607.2664359862,1,2,3,2,2,0,88,-0.0284496653780121,-0.0684426592288171
195,Gila ditaenia,Fishes,1,76837.5778546713,1,11,2,1,2,0,20,-0.0243788410729965,-0.0604919701135468
196,Gila elegans,Fishes,1,1616642.28373702,3,5,3,1,2,1,20,0.596710269339879,0.282117696356511
197,Megaptera novaeangliae,Mammals,3,838089.342560554,NA,3,3,2,1,NA,1,8.96008793690266,2.15491182794694
198,Moapa coriacea,Fishes,1,97022.2837370242,1,1,3,2,3,0,1,-0.0700283937594783,-0.0758066901054761
199,Sylvilagus palustris hefneri,Mammals,1,552111.07266436,1,6,3,1,1,1,23,-0.073524040657628,-0.108655478851269
200,Cyprinodon macularius,Fishes,1,201507.820069204,2,5,3,1,2,0,44,1.05459543152593,0.205906439255571
201,Speoplatyrhinus poulsoni,Fishes,1,169.61937716263,1,1,3,2,3,0,1,-0.0559230500568026,-0.0869183475816843
202,Graptemys oculifera,Reptiles,2,2374.67128027682,1,14,1,2,2,0,14,0.0989125456562447,-0.121632493967622
203,Etheostoma sellare,Fishes,Prob. Extinct,18658.1314878893,1,5,3,1,2,0,145,-0.0670888117494998,-0.0887424243509414
204,Sternotherus depressus,Reptiles,2,11873.3564013841,1,14,1,2,2,0,4,0.394849386438936,-0.00387521259385288
205,Notropis albizonatus,Fishes,1,27817.5778546713,1,5,3,1,2,0,88,-0.158282195918147,-0.107971862106258
207,Paroreomyza flammea,Birds,Prob. Extinct,14248.0276816609,1,5,3,1,2,0,3,-0.139969544830547,-0.111443126422558
208,Mycteria americana,Birds,3,329570.44982699,1,6,3,1,1,1,4,1.7644734307117,0.739318790447813
209,Percina antesella,Fishes,1,36468.1660899654,1,5,3,1,2,0,49,0.00355807328336303,-0.078141017875114
211,Etheostoma nianguae,Fishes,2,80908.4429065744,1,8,2,2,2,0,145,-0.00401319815024356,-0.0644426104033203
212,Cyprinella caerulea,Fishes,2,40030.1730103806,1,8,2,2,2,0,33,-0.0478530253895713,-0.0881413046285906
213,Charadrius melodus,Birds,3,3275689.41176471,5,2,3,2,2,1,31,2.68019413787489,2.04485604233613
214,Chasmistes cujus,Fishes,1,2607219.44636678,1,2,3,2,2,1,5,-0.163825750489489,-0.122831986116968
215,Crocodylus acutus,Reptiles,2,11025.2595155709,1,2,3,2,2,1,14,1.72343267935887,0.232386537309195
217,Falco femoralis septentrionalis,Birds,1,228477.301038062,1,3,3,2,1,0,39,-0.0128891356178109,-0.077167655952503
218,Percina pantherina,Fishes,2,88710.9342560554,2,11,2,1,2,1,49,0.238598812299465,-0.0376942136323904
219,Thamnophis sirtalis tetrataenia,Reptiles,2,32227.6816608997,1,3,3,2,1,1,35,-0.163825750489489,-0.122831986116968
221,Gallinula galeata sandvicensis,Birds,2,355013.356401384,1,9,2,2,1,0,9,-0.163825750489489,-0.122831986116968
222,Branta sandvicensis,Birds,1,817226.15916955,1,2,3,2,2,0,7,0.360431379154505,0.0855192844317345
223,Lepidochelys olivacea,Reptiles,1,56822.491349481,2,8,2,2,2,NA,2,2.46619643453526,5.4370919500766e-4
224,Cyprinodon diabolis,Fishes,1,92442.5605536332,1,8,2,2,2,0,44,-0.163825750489489,-0.122831986116968
225,Akialoa ellisiana,Birds,Extinct,6954.39446366782,1,5,3,1,2,0,4,-0.163825750489489,-0.122831986116968
226,Leptonycteris yerbabuenae,Mammals,2,190482.560553633,NA,8,2,2,2,0,3,-0.163825750489489,-0.122831986116968
227,Odocoileus virginianus leucurus,Mammals,2,416415.570934256,1,15,1,2,1,0,2,-0.163825750489489,-0.122831986116968
228,Vermivora bachmanii,Birds,Prob. Extinct,4240.48442906574,1,5,3,1,2,0,5,-0.163825750489489,-0.122831986116968
229,Eurycea nana,Amphibians,1,5767.05882352941,1,2,3,2,2,1,32,-0.0283684040927933,-0.0911915110082934
230,Canis rufus,Mammals,1,1771674.39446367,1,5,3,1,2,1,8,1.16713939861621,2.0535439801483
231,Rhinichthys osculus oligoporus,Fishes,1,1696.1937716263,1,9,2,2,1,1,9,-0.11565929044185,-0.10931701809939
232,Ictalurus pricei,Fishes,Prob. Extinct,84809.6885813149,1,8,2,2,2,0,10,-0.0913650607989813,-0.0857121046244511
234,Xantusia riversiana,Reptiles,1,13739.169550173,NA,8,2,2,2,0,14,0.0273534862056886,-0.0854262340548328
235,Chasmistes brevirostris,Fishes,1,1652601.5916955,2,2,3,2,2,1,5,0.0953167648249352,-0.0212812467048477
236,Etheostoma boschungi,Fishes,1,27987.1972318339,1,8,2,2,2,0,145,0.00741718602899376,-0.0807933290249732
237,Moho braccatus,Birds,Prob. Extinct,34093.4948096886,1,4,3,1,3,0,4,-0.0570534392903596,-0.112016716304306
238,Microtus pennsylvanicus dukecampbelli,Mammals,1,848.096885813149,1,6,3,1,1,0,62,-0.163825750489489,-0.122831986116968
241,Rhadine persephone,Invertebrates,1,569412.249134948,1,2,3,2,2,NA,42,-0.0131434830773606,-0.0942216819111124
242,Callophrys mossii bayensis,Invertebrates,1,60214.8788927336,1,9,2,2,1,NA,21,-0.108102143932663,-0.0552749943114817
243,Physa natricina,Invertebrates,1,52751.6262975779,NA,5,3,1,2,0,17,-0.102929841576731,-0.0917666194597813
244,Pyrgulopsis bruneauensis,Invertebrates,1,231530.44982699,1,2,3,2,2,NA,127,-0.102278312633542,-0.117594926388832
245,Epioblasma curtisii,Invertebrates,1,28496.0553633218,2,6,3,1,1,0,23,-0.163825750489489,-0.122831986116968
246,Theliderma stapes,Invertebrates,Prob. Extinct,1526.57439446367,1,5,3,1,2,0,5,-0.163825750489489,-0.122831986116968
247,Parvaspina steinstansana,Invertebrates,1,6445.53633217993,1,5,3,1,2,0,1,-0.163825750489489,-0.111743067161107
248,Apodemia mormo langei,Invertebrates,1,79721.107266436,1,9,2,2,1,NA,11,-0.163825750489489,-0.122831986116968
249,Euproserpinus euterpe,Invertebrates,1,1696.1937716263,1,2,3,2,2,NA,3,-0.0817685218875583,-0.104415977787097
250,Fusconaia cor,Invertebrates,1,2205.05190311419,2,5,3,1,2,0,15,-0.0811712294952799,-0.0755245047030463
251,Alasmidonta heterodon,Invertebrates,1,201507.820069204,2,5,3,1,2,0,12,0.13498112358024,-0.120421216521082
252,Epioblasma perobliqua,Invertebrates,1,31549.2041522491,1,6,3,1,1,1,23,-0.163825750489489,-0.117600470423965
253,Potamilus inflatus,Invertebrates,1,101093.148788927,1,8,2,2,2,1,9,0.0111612637155588,-0.0658412757036742
254,Syncaris pacifica,Invertebrates,1,5088.58131487889,1,8,2,2,2,1,2,0.0544466647612195,-0.0731684621924137
256,Hemistena lata,Invertebrates,1,17640.4152249135,2,4,3,1,3,0,1,-0.100310152835671,-0.109996413317741
257,Habroscelimorpha dorsalis dorsalis,Invertebrates,2,154862.491349481,1,6,3,1,1,NA,10,-0.163825750489489,-0.122831986116968
259,Papilio aristodemus ponceana,Invertebrates,1,226441.868512111,1,3,3,2,1,NA,28,-0.163825750489489,-0.122831986116968
260,Epioblasma penita,Invertebrates,1,11194.8788927336,1,2,3,2,2,1,23,-0.163825750489489,-0.122831986116968
261,Cyprogenia stegaria,Invertebrates,1,18997.3702422145,3,5,3,1,2,0,2,0.00672230523338116,-0.0141170049286107
262,Lemiox rimosus,Invertebrates,1,19675.8477508651,2,4,3,1,3,1,1,-0.110910926420037,-0.122271670576852
